wallet,market_slug,market_question,winning_outcome,id,timestamp,datetime,side,outcome,shares,usdc,price,role,tx_hash,fee
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,btc-updown-15m-1768029300,"Bitcoin Up or Down - January 10, 2:15AM-2:30AM ET",up,0x080aa00c585959ce7e884083d3698a6ff416d1586a71a9c25327f98a4595442f_0x58b22fa89c652eb90bb922173c1de709a8dd2939b7536cc2660ed626d99d8c17,1768029316,2026-01-10T08:15:16,BUY,Down,26.0,12.74,0.49,maker,0x080aa00c585959ce7e884083d3698a6ff416d1586a71a9c25327f98a4595442f,2.6
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,btc-updown-15m-1768029300,"Bitcoin Up or Down - January 10, 2:15AM-2:30AM ET",up,0x080aa00c585959ce7e884083d3698a6ff416d1586a71a9c25327f98a4595442f_0x6c3024f46fee9dbf014cdbedd0b2b2951eac9ed4847cbfd30941b7addbad5955,1768029316,2026-01-10T08:15:16,BUY,Down,26.0,12.74,0.49,maker,0x080aa00c585959ce7e884083d3698a6ff416d1586a71a9c25327f98a4595442f,2.6
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,btc-updown-15m-1768029300,"Bitcoin Up or Down - January 10, 2:15AM-2:30AM ET",up,0x080aa00c585959ce7e884083d3698a6ff416d1586a71a9c25327f98a4595442f_0xf987c8b5173c05354a5be640006c00fa3ebeb69811b80e5b9e7141a0d6349b5f,1768029316,2026-01-10T08:15:16,BUY,Down,21.29,10.4321,0.49000000000000005,maker,0x080aa00c585959ce7e884083d3698a6ff416d1586a71a9c25327f98a4595442f,2.129
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,btc-updown-15m-1768029300,"Bitcoin Up or Down - January 10, 2:15AM-2:30AM ET",up,0xe0df64d3b4189892e49dc7203a8fc4d9579560e7610d0258852ba11f17caa1fe_0xb018bfd19502052cbf3db6258130dfa96fec2d1e3e585bf90f7d07f672f1d2e5,1768029318,2026-01-10T08:15:18,BUY,Down,26.0,12.74,0.49,maker,0xe0df64d3b4189892e49dc7203a8fc4d9579560e7610d0258852ba11f17caa1fe,2.6
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,btc-updown-15m-1768029300,"Bitcoin Up or Down - January 10, 2:15AM-2:30AM ET",up,0xe0df64d3b4189892e49dc7203a8fc4d9579560e7610d0258852ba11f17caa1fe_0xf987c8b5173c05354a5be640006c00fa3ebeb69811b80e5b9e7141a0d6349b5f,1768029318,2026-01-10T08:15:18,BUY,Down,4.71,2.3079,0.49,maker,0xe0df64d3b4189892e49dc7203a8fc4d9579560e7610d0258852ba11f17caa1fe,0.471
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,btc-updown-15m-1768029300,"Bitcoin Up or Down - January 10, 2:15AM-2:30AM ET",up,0x6fe57ef37890b97c5f3e059ce147d91f90ddbab4cfa1a800d58c180765c3b7cb_0x167de93ffabf264e6d0363b4ef5ed74f4b5c3d84bde68eb1993bedcd8ed90275,1768029320,2026-01-10T08:15:20,BUY,Down,26.0,13.0,0.5,maker,0x6fe57ef37890b97c5f3e059ce147d91f90ddbab4cfa1a800d58c180765c3b7cb,2.6
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,btc-updown-15m-1768029300,"Bitcoin Up or Down - January 10, 2:15AM-2:30AM ET",up,0x6fe57ef37890b97c5f3e059ce147d91f90ddbab4cfa1a800d58c180765c3b7cb_0x7e888a347315763eb4f3bca6facf39b0aac24c26a44845fe313be672d35150af,1768029320,2026-01-10T08:15:20,BUY,Down,26.0,13.0,0.5,maker,0x6fe57ef37890b97c5f3e059ce147d91f90ddbab4cfa1a800d58c180765c3b7cb,2.6
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,btc-updown-15m-1768029300,"Bitcoin Up or Down - January 10, 2:15AM-2:30AM ET",up,0x6fe57ef37890b97c5f3e059ce147d91f90ddbab4cfa1a800d58c180765c3b7cb_0xc386481ea42aa6d22450257aa36283c888c3eb98ba72516fa1cb909b98486144,1768029320,2026-01-10T08:15:20,BUY,Down,26.0,13.0,0.5,maker,0x6fe57ef37890b97c5f3e059ce147d91f90ddbab4cfa1a800d58c180765c3b7cb,2.6
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,btc-updown-15m-1768029300,"Bitcoin Up or Down - January 10, 2:15AM-2:30AM ET",up,0x6fe57ef37890b97c5f3e059ce147d91f90ddbab4cfa1a800d58c180765c3b7cb_0xd64bd2bce05204f55e2f5ede076406d00caaeadb898251a94a0597e7b47252a7,1768029320,2026-01-10T08:15:20,BUY,Down,26.0,13.0,0.5,maker,0x6fe57ef37890b97c5f3e059ce147d91f90ddbab4cfa1a800d58c180765c3b7cb,2.6
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,btc-updown-15m-1768029300,"Bitcoin Up or Down - January 10, 2:15AM-2:30AM ET",up,0x6fe57ef37890b97c5f3e059ce147d91f90ddbab4cfa1a800d58c180765c3b7cb_0xe53f65f354a4fc3dc924e0e0b5894ea5cf33110a2e61b842f83ec3753f1467f3,1768029320,2026-01-10T08:15:20,BUY,Down,26.0,13.0,0.5,maker,0x6fe57ef37890b97c5f3e059ce147d91f90ddbab4cfa1a800d58c180765c3b7cb,2.6
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,btc-updown-15m-1768029300,"Bitcoin Up or Down - January 10, 2:15AM-2:30AM ET",up,0x6fe57ef37890b97c5f3e059ce147d91f90ddbab4cfa1a800d58c180765c3b7cb_0xf25c399591fe712263256ee5af5a66c4354a308831561b581cab90d04451a01a,1768029320,2026-01-10T08:15:20,BUY,Down,26.0,13.0,0.5,maker,0x6fe57ef37890b97c5f3e059ce147d91f90ddbab4cfa1a800d58c180765c3b7cb,2.6
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,btc-updown-15m-1768029300,"Bitcoin Up or Down - January 10, 2:15AM-2:30AM ET",up,0x5180c8bcb8e5c863fae66efa73675b0e78850b6dc33bf4651763424f655ea832_0x33e323e3c85b0821c6d92548f034175bd35b38eef6587a0ad09f48cfa231a703,1768029324,2026-01-10T08:15:24,BUY,Up,1.492243,0.761044,0.51000004690925,maker,0x5180c8bcb8e5c863fae66efa73675b0e78850b6dc33bf4651763424f655ea832,0.143372
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,btc-updown-15m-1768029300,"Bitcoin Up or Down - January 10, 2:15AM-2:30AM ET",up,0x5321597732e585fda77f17ced1ed3c0e1f4cf0a4134a93b5cf1c3a422d97e9d0_0x33e323e3c85b0821c6d92548f034175bd35b38eef6587a0ad09f48cfa231a703,1768029326,2026-01-10T08:15:26,BUY,Up,2.39,1.2189,0.51,maker,0x5321597732e585fda77f17ced1ed3c0e1f4cf0a4134a93b5cf1c3a422d97e9d0,0.229627
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,btc-updown-15m-1768029300,"Bitcoin Up or Down - January 10, 2:15AM-2:30AM ET",up,0x7d8c09065fbfc837df7332f3eb02c8a5a0dc2929ddb22fe1b1ea3bd83b922368_0x33e323e3c85b0821c6d92548f034175bd35b38eef6587a0ad09f48cfa231a703,1768029326,2026-01-10T08:15:26,BUY,Up,10.0,5.1,0.51,maker,0x7d8c09065fbfc837df7332f3eb02c8a5a0dc2929ddb22fe1b1ea3bd83b922368,0.960784
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,btc-updown-15m-1768029300,"Bitcoin Up or Down - January 10, 2:15AM-2:30AM ET",up,0xcabbeac1ba837bf3b338ac278259804cb6b88390351cd924f94f6ed45d7000fb_0x33e323e3c85b0821c6d92548f034175bd35b38eef6587a0ad09f48cfa231a703,1768029326,2026-01-10T08:15:26,BUY,Up,2.244896,1.144897,0.5100000178181975,maker,0xcabbeac1ba837bf3b338ac278259804cb6b88390351cd924f94f6ed45d7000fb,0.215686
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,btc-updown-15m-1768029300,"Bitcoin Up or Down - January 10, 2:15AM-2:30AM ET",up,0x4dcbf98bdf5f3513ae19e5c74664432bc0e85669cb15c58b8578257aee9fa37f_0x54078f85ca3746295390b27e53225503fda90149300fed77fec2e72e21646194,1768029330,2026-01-10T08:15:30,BUY,Up,3.061223,1.561224,0.510000088200043,maker,0x4dcbf98bdf5f3513ae19e5c74664432bc0e85669cb15c58b8578257aee9fa37f,0.294117
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,btc-updown-15m-1768029300,"Bitcoin Up or Down - January 10, 2:15AM-2:30AM ET",up,0x504b2dc210bf4a0c7726faef11d07a4e517e226930f6da90d373afa62ac51666_0x54078f85ca3746295390b27e53225503fda90149300fed77fec2e72e21646194,1768029330,2026-01-10T08:15:30,BUY,Up,2.4,1.224,0.51,maker,0x504b2dc210bf4a0c7726faef11d07a4e517e226930f6da90d373afa62ac51666,0.230588
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,btc-updown-15m-1768029300,"Bitcoin Up or Down - January 10, 2:15AM-2:30AM ET",up,0x8f2e74183c80c207cd881e470a24296c0c7397dca5f31d8254bc6eb4cb3e9846_0x54078f85ca3746295390b27e53225503fda90149300fed77fec2e72e21646194,1768029330,2026-01-10T08:15:30,BUY,Up,2.244896,1.144897,0.5100000178181975,maker,0x8f2e74183c80c207cd881e470a24296c0c7397dca5f31d8254bc6eb4cb3e9846,0.215686
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,btc-updown-15m-1768029300,"Bitcoin Up or Down - January 10, 2:15AM-2:30AM ET",up,0x959cabdc03f556b3f7c4aa92cd016db41ab7c42aa32490ce98b629d297f87fb0_0x54078f85ca3746295390b27e53225503fda90149300fed77fec2e72e21646194,1768029330,2026-01-10T08:15:30,BUY,Up,2.25,1.1475,0.51,maker,0x959cabdc03f556b3f7c4aa92cd016db41ab7c42aa32490ce98b629d297f87fb0,0.216176
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,btc-updown-15m-1768029300,"Bitcoin Up or Down - January 10, 2:15AM-2:30AM ET",up,0x16a7d7688985c9650f612ecb92c1bef0a30815b766f9e8659521bf571e483efc_0x54078f85ca3746295390b27e53225503fda90149300fed77fec2e72e21646194,1768029334,2026-01-10T08:15:34,BUY,Up,15.040815,7.670816,0.5100000232700156,maker,0x16a7d7688985c9650f612ecb92c1bef0a30815b766f9e8659521bf571e483efc,1.445097
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,btc-updown-15m-1768029300,"Bitcoin Up or Down - January 10, 2:15AM-2:30AM ET",up,0xef3e295f0b4cf4a5a5e93c7d98cbf1d1b12bf1377212576afbbe98ed78f5ce2b_0x54078f85ca3746295390b27e53225503fda90149300fed77fec2e72e21646194,1768029334,2026-01-10T08:15:34,BUY,Up,0.98,0.4998,0.51,maker,0xef3e295f0b4cf4a5a5e93c7d98cbf1d1b12bf1377212576afbbe98ed78f5ce2b,0.094156
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,btc-updown-15m-1768029300,"Bitcoin Up or Down - January 10, 2:15AM-2:30AM ET",up,0x25c6534ed79cd57f779fbacf45e8790e236589699013366bb0a6a596e0216c6c_0xc5f2fddb70088e814a61ffbc11cad0ff44f3458eda9e2b2998b6bde9795e391a,1768029338,2026-01-10T08:15:38,BUY,Up,2.040815,1.040816,0.5100001715001115,maker,0x25c6534ed79cd57f779fbacf45e8790e236589699013366bb0a6a596e0216c6c,0.196078
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,btc-updown-15m-1768029300,"Bitcoin Up or Down - January 10, 2:15AM-2:30AM ET",up,0x35a514d54e0ff5fb84b0b0b044b159d471a399219ba7f0935934f0a9314691c1_0xc5f2fddb70088e814a61ffbc11cad0ff44f3458eda9e2b2998b6bde9795e391a,1768029338,2026-01-10T08:15:38,BUY,Up,6.6,3.366,0.51,maker,0x35a514d54e0ff5fb84b0b0b044b159d471a399219ba7f0935934f0a9314691c1,0.634117
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,btc-updown-15m-1768029300,"Bitcoin Up or Down - January 10, 2:15AM-2:30AM ET",up,0x37b3e682e85aaa446b0dad998a87d31320fa5f6dd61b9b3e02e1c68b78a1208c_0xc5f2fddb70088e814a61ffbc11cad0ff44f3458eda9e2b2998b6bde9795e391a,1768029340,2026-01-10T08:15:40,BUY,Up,2.040815,1.040816,0.5100001715001115,maker,0x37b3e682e85aaa446b0dad998a87d31320fa5f6dd61b9b3e02e1c68b78a1208c,0.196078
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,btc-updown-15m-1768029300,"Bitcoin Up or Down - January 10, 2:15AM-2:30AM ET",up,0x43c41134ef0060deb46fb97cbd02a992a3ab80697de5e24ce92fd49b1cc6ccb5_0xc5f2fddb70088e814a61ffbc11cad0ff44f3458eda9e2b2998b6bde9795e391a,1768029340,2026-01-10T08:15:40,BUY,Up,2.040815,1.040816,0.5100001715001115,maker,0x43c41134ef0060deb46fb97cbd02a992a3ab80697de5e24ce92fd49b1cc6ccb5,0.196078
